<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGHIGH,d,20231101,000000,69700,70350,68500,70350,86171
AGHIGH,d,20231104,000000,70500,71690,70500,71220,375
AGHIGH,d,20231105,000000,71400,72070,71400,71800,12083
AGHIGH,d,20231106,000000,72590,73100,72310,72710,307760
AGHIGH,d,20231107,000000,72810,74900,72810,73810,21651
AGHIGH,d,20231108,000000,73510,74500,73500,74090,5696
AGHIGH,d,20231111,000000,73810,73810,73500,73500,2000
AGHIGH,d,20231112,000000,73410,73990,73400,73990,30842
AGHIGH,d,20231113,000000,74230,74250,73310,73310,529
AGHIGH,d,20231114,000000,73500,73500,73070,73080,422671
AGHIGH,d,20231115,000000,73800,73800,72800,72800,2940
AGHIGH,d,20231118,000000,73010,73010,72600,72810,29769
AGHIGH,d,20231119,000000,72650,72650,72600,72600,49
AGHIGH,d,20231120,000000,72300,72300,72000,72150,12235
AGHIGH,d,20231121,000000,72550,72550,72420,72420,145447
AGHIGH,d,20231122,000000,72550,73010,72550,73010,1213
AGHIGH,d,20231125,000000,72700,73200,72600,72950,5614
AGHIGH,d,20231126,000000,72700,72850,72650,72850,6300
AGHIGH,d,20231127,000000,73350,73350,73350,73350,355
AGHIGH,d,20231128,000000,73300,73570,73300,73570,1364
AGHIGH,d,20231129,000000,74650,75000,74600,74630,2452
AGHIGH,d,20231202,000000,75350,76600,75350,76100,34403
AGHIGH,d,20231203,000000,76000,77500,75750,77500,20796
AGHIGH,d,20231204,000000,77600,77900,77450,77700,13025
AGHIGH,d,20231205,000000,77460,78550,77460,78100,8219
AGHIGH,d,20231206,000000,77900,78200,77900,78200,1907
AGHIGH,d,20231209,000000,78000,78100,77300,77300,23547
AGHIGH,d,20231210,000000,77300,78000,77300,77700,831438
AGHIGH,d,20231211,000000,78110,78200,77920,78100,41943
AGHIGH,d,20231212,000000,77900,77910,77800,77900,661668
AGHIGH,d,20231213,000000,77390,77600,77390,77600,95618
AGHIGH,d,20231216,000000,77700,78300,77540,78000,357864
AGHIGH,d,20231218,000000,78320,79800,78320,79370,1414605
AGHIGH,d,20231219,000000,79500,79790,79000,79190,348003
AGHIGH,d,20231220,000000,79790,79790,79000,79100,68209
AGHIGH,d,20231223,000000,79100,79660,79010,79110,98973
AGHIGH,d,20231224,000000,79090,79090,78700,78700,8693
AGHIGH,d,20231225,000000,79190,79190,78700,78700,33510
AGHIGH,d,20231226,000000,77810,78460,77810,78010,2581983
AGHIGH,d,20231227,000000,78000,78400,78000,78400,61575
AGHIGH,d,20231230,000000,78810,78810,78490,78490,616499
AGHIGH,d,20231231,000000,78400,78400,78010,78150,405448
AGHIGH,d,20240101,000000,77800,78190,77510,77600,267488
AGHIGH,d,20240102,000000,77800,77800,77450,77500,316561
AGHIGH,d,20240103,000000,78090,78090,77600,77800,71618
AGHIGH,d,20240106,000000,77910,78000,77510,78000,492154
AGHIGH,d,20240107,000000,77990,78000,77930,77930,402079
AGHIGH,d,20240108,000000,78000,78200,77900,77900,292917
AGHIGH,d,20240109,000000,77800,78100,77800,78100,11702
AGHIGH,d,20240110,000000,78300,78300,78260,78260,23800